service_id,date,exception_type
2022-8WE,20220809,1
2022-8WE,20220810,1
2022-8WD,20220811,2
2022-8WE,20220812,1
2022-8WD,20220813,2
2022-8WD,20220814,2
2022-8WE,20220815,1
2022-8WE,20220816,1
2022-8WE,20220817,1
2022-8WE,20220818,1
2022-8WE,20220819,1
2022-8WD,20220820,2
2022-8WD,20220821,2
2022-8WE,20220822,1
2022-8WE,20220823,1
2022-8WE,20220824,1
2022-8WE,20220825,1
2022-8WE,20220826,1
2022-8WD,20220827,2
2022-8WD,20220828,2
2022-8WE,20220829,1
2022-8WE,20220830,1
2022-8WE,20220831,1
2022-9WE,20220901,1
2022-9WE,20220902,1
2022-9WD,20220903,2
2022-9WD,20220904,2
2022-9WE,20220905,1
2022-9WE,20220906,1
2022-9WE,20220907,1
2022-9WE,20220908,1
2022-9WE,20220909,1
2022-9WD,20220910,2
2022-9WD,20220911,2
2022-9WE,20220912,1
2022-9WE,20220913,1
2022-9WE,20220914,1
2022-9WE,20220915,1
2022-9WE,20220916,1
2022-9WD,20220917,2
2022-9WD,20220918,2
2022-9WE,20220919,2
2022-9WE,20220920,1
2022-9WE,20220921,1
2022-9WE,20220922,1
2022-9WD,20220923,2
2022-9WD,20220924,2
2022-9WD,20220925,2
2022-9WE,20220926,1
2022-9WE,20220927,1
2022-9WE,20220928,1
2022-9WE,20220929,1
2022-9WE,20220930,1
2022-10WD,20221001,2
2022-10WD,20221002,2
2022-10WE,20221003,1
2022-10WE,20221004,1
2022-10WE,20221005,1
2022-10WE,20221006,1
2022-10WE,20221007,1
2022-10WD,20221008,2
2022-10WD,20221009,2
2022-10WD,20221010,2
2022-10WE,20221011,1
2022-10WE,20221012,1
2022-10WE,20221013,1
2022-10WE,20221014,1
2022-10WD,20221015,2
2022-10WD,20221016,2
2022-10WE,20221017,1
2022-10WE,20221018,1
2022-10WE,20221019,1
2022-10WE,20221020,1
2022-10WE,20221021,1
2022-10WD,20221022,2
2022-10WD,20221023,2
2022-10WE,20221024,1
2022-10WE,20221025,1
2022-10WE,20221026,1
2022-10WE,20221027,1
2022-10WE,20221028,1
2022-10WD,20221029,2
2022-10WD,20221030,2
2022-10WE,20221031,1
2022-11WE,20221101,1
2022-11WE,20221102,1
2022-11WD,20221103,2
2022-11WE,20221104,1
2022-11WD,20221105,2
2022-11WD,20221106,2
2022-11WE,20221107,1
2022-11WE,20221108,1
2022-11WE,20221109,1
2022-11WE,20221110,1
2022-11WE,20221111,1
2022-11WD,20221112,2
2022-11WD,20221113,2
2022-11WE,20221114,1
2022-11WE,20221115,1
2022-11WE,20221116,1
2022-11WE,20221117,1
2022-11WE,20221118,1
2022-11WD,20221119,2
2022-11WD,20221120,2
